0. 0.133528
0.25 0.130973
0.5 0.124097
0.75 0.114667
1 0.102902
1.25 0.0901656
1.5 0.0778205
1.75 0.0663624
2 0.05612
2.25 0.0472004
2.5 0.0395711
2.75 0.0331246
3 0.0277215
3.25 0.0232147
3.5 0.0194658
3.75 0.0163508
4 0.0137624
4.25 0.0116098
4.5 0.00981661
4.75 0.0083206
5 0.00706935
5.25 0.00602048
5.5 0.0051392
5.75 0.0043969
6 0.00377009
6.25 0.00323953
6.5 0.00278938
6.75 0.00240649
7 0.00208016
7.25 0.00180138
7.5 0.00156271
7.75 0.00135795
8 0.00118195
8.25 0.00103035
8.5 0.00089958
8.75 0.000786539
9 0.000688667
9.25 0.000603787
9.5 0.000530059
9.75 0.000465919
10 0.000410037
10.25 0.000361282
10.5 0.000318689
10.75 0.000281425
11 0.000248781
11.25 0.000220157
11.5 0.000195022
11.75 0.000172926
12 0.000153481
12.25 0.000136349
12.5 0.000121237
12.75 0.000107894
13 9.61058e-05
13.25 8.5675e-05
13.5 7.6438e-05
13.75 6.82511e-05
14 6.09887e-05
14.25 5.45405e-05
14.5 4.881e-05
14.75 4.37134e-05
15 3.91745e-05
15.25 3.51331e-05
15.5 3.15301e-05
15.75 2.83155e-05
16 2.54452e-05
16.25 2.28803e-05
16.5 2.05869e-05
16.75 1.85347e-05
17 1.66972e-05
17.25 1.50514e-05
17.5 1.35752e-05
17.75 1.22507e-05
18 1.10616e-05
18.25 9.99338e-06
18.5 9.03323e-06
18.75 8.16967e-06
19 7.39251e-06
19.25 6.69271e-06
19.5 6.06337e-06
19.75 5.49491e-06
20 4.98216e-06
